Timestamp (ms),Humidity (%),Temperature (°F),Temperature (°C),AC Power (%)
0,43.7,76.64,24.8,34.53976046484055
2000,45.26,76.56,24.76,36.137006806208134
4000,44.97,76.7,24.83,34.97851477054148
6000,45.96,78.22,25.68,59.565403893729176
8000,46.24,78.51,25.84,63.3863822400956
10000,42.71,77.71,25.39,47.954409341323625
12000,46.96,77.94,25.52,83.50720460321403
14000,44.17,76.7,24.83,34.97851477054084
16000,46.99,76.59,24.77,58.42776483709107
18000,44.94,76.88,24.93,38.0821986650965
20000,48.61,77.71,25.39,80.6266267588069
22000,46.18,78.38,25.77,62.488206694474364
24000,48.01,78.86,26.03,85.43667214012038
26000,43.61,77.21,25.12,41.63298003950727
28000,46.36,76.38,24.66,45.15859792969152
30000,44.6,75.84,24.36,13.952688172043008
32000,46.23,78.04,25.58,63.23281989049239
34000,46.02,77.57,25.32,56.42677091164243
36000,44.29,74.96,23.87,14.573431734317346
38000,42.1,77.88,25.49,49.81954748458953
40000,45.76,76.69,24.83,44.499233999077454
42000,45.5,77.22,25.12,47.62889344390753
44000,45.43,73.91,23.28,24.064351368708298
46000,45.24,77.26,25.14,45.549603727747126
48000,44.71,77.05,25.03,40.67914910175246
50000,44.85,76.58,24.77,32.71502494400142
52000,45.36,76.41,24.67,34.10046479219632
54000,46.71,76.44,24.69,51.35189031324585
56000,45.56,77.41,25.23,50.17590483421923
58000,44.12,76.52,24.73,30.951203972246013
60000,43.73,77.91,25.51,50.00000000000001
62000,44.98,77.67,25.37,47.67968747230522
64000,45.15,77.8,25.44,50.26619697945528
66000,45.38,77.62,25.34,50.52872030666375
68000,45.66,76.7,24.83,43.34014007617507
70000,43.48,77.61,25.34,46.38708186697951
72000,44.8,77.22,25.12,42.77009028712431
74000,44.23,75.88,24.38,14.760288808664273
76000,43.01,78.14,25.63,50.00000000000002
78000,44.65,77.73,25.41,48.362994602463864
80000,44.56,77.24,25.13,42.988935443334825
82000,43.63,78.17,25.65,50.00000000000002
84000,43.35,76.92,24.96,38.90141012909637
